name,description
"백엔드 개발자","사용자 눈에 보이지 않는 서버, 데이터베이스, API를 개발하여 서비스의 핵심 로직을 구축하고, 안정성과 확장성을 책임지는 기술의 중심축입니다."
"백엔드 개발자","RESTful API 원칙에 따라 회원가입, 로그인, 게시글 작성 등 기본적인 CRUD 기능을 제공하는 API를 설계하고 구현합니다."
"백엔드 개발자","JWT(JSON Web Token)를 이용하여 사용자 인증 및 인가 시스템을 구축하고, 특정 API에 대한 접근 제어를 구현합니다."
"백엔드 개발자","요구사항에 맞춰 PostgreSQL, MySQL 등 관계형 데이터베이스의 스키마를 설계하고, ORM을 통해 데이터를 조작합니다."
"백엔드 개발자","사용자가 업로드한 이미지나 파일을 서버에 저장하고, AWS S3와 같은 클라우드 스토리지를 연동하여 파일 관리 기능을 개발합니다."
"백엔드 개발자","Docker를 사용하여 개발한 애플리케이션을 컨테이너화하고, AWS EC2와 같은 클라우드 서버에 배포하여 서비스를 운영합니다."
"백엔드 개발자","Django, FastAPI 프레임워크의 기본 원리를 학습하여, 웹 페이지 렌더링 및 데이터베이스 연동 기능을 구현합니다."
"백엔드 개발자","Spring Boot의 IoC, JPA, 시큐리티 등 핵심 개념을 학습하고, 이를 활용해 질의응답 커뮤니티 프로젝트를 구현합니다."
"백엔드 개발자","PG(결제 대행사) 결제 모듈을 연동하여, 웹 서비스에 결제 기능을 구현하는 경험을 합니다."
"백엔드 개발자","Redis를 이용한 데이터 캐싱, Celery를 이용한 비동기 처리 등 서비스 성능 최적화 기법을 학습합니다."
"백엔드 개발자","AWS EC2 서버에 Nginx를 설정하고, GitHub Actions를 이용한 CI/CD 파이프라인을 구축하여 배포 자동화를 경험합니다."

"프론트엔드 개발자","사용자가 직접 마주하는 웹 화면을 만들고, 최신 기술을 통해 매력적인 디자인과 직관적인 사용자 경험(UX)을 구현하는 서비스의 얼굴입니다."
"프론트엔드 개발자","Axios나 Fetch API를 사용하여 백엔드 서버와 비동기 통신을 구현하고, 서버로부터 받은 데이터를 화면에 렌더링합니다."
"프론트엔드 개발자","게시판이나 댓글 기능과 같이, 사용자가 데이터를 생성, 조회, 수정, 삭제(CRUD)할 수 있는 기본적인 웹 애플리케이션 기능을 개발합니다."
