category,attribute,description
"단점","성과 강조 부족","프로젝트의 결과나 성과를 제시할 때, '매출 _N_% 상승' 이나 '응답 시간 _X_ms 단축'과 같은 수치적, 구체적 표현이 부족한 경향이 있습니다."
"단점","경험 구체성 부족","이력서에 다양한 기술 스택을 나열했지만, 각 기술을 어떤 문제 해결을 위해, 어느 정도 깊이로 사용했는지에 대한 구체적인 경험 서술이 미흡합니다."
"단점","완벽주의 경향","때때로 세부적인 부분에 과도하게 집중하여 전체적인 개발 일정이 지연된 경험이 있으며, 우선순위에 따른 업무 조율 능력을 개선 중입니다."
"단점","반복적인 표현 사용","유사한 경험이나 역량을 여러 항목에서 반복적으로 기술하여, 이력서 전반의 임팩트가 약화되고 강점이 명확하게 드러나지 않습니다."
"단점","자기소개서 내용 미흡","자기소개서의 내용이 추상적이거나 일반적인 이야기 위주로 구성되어, 지원자 본인의 차별화된 강점과 직무에 대한 기여 의지가 잘 드러나지 않습니다."
"단점","실무 운영 경험 부족","개인 프로젝트나 토이 프로젝트 경험은 다수 있으나, 실제 사용자가 있는 서비스를 상용 환경에서 배포하고 운영해 본 경험이 부족합니다."
"단점","특정 기술 편향","특정 언어와 프레임워크 사용을 선호하여, 프로젝트의 요구사항에 더 적합한 다른 기술적 대안을 탐색하는 데 소극적이었던 경험이 있습니다."
"단점","비즈니스 이해도","기술 구현 자체에 집중한 나머지, 해당 기능이 비즈니스 목표에 어떻게 기여하는지에 대한 이해와 고민이 부족했던 경우가 있습니다."

"단점","경험의 구체성 및 깊이 부족","사용한 기술을 단순 나열하는 데 그쳐, 각 기술을 '어떤 문제를 해결하기 위해', '어느 정도 깊이로' 사용했는지에 대한 구체적인 경험과 고민이 드러나지 않습니다."
"단점","성과 정량화 미흡","프로젝트의 결과가 '성공적으로 완료함'과 같이 추상적으로 서술되어, 기여도를 객관적으로 파악할 수 있는 구체적인 수치나 데이터가 부족합니다."
"단점","프로젝트의 배경과 목적 부재","'무엇을' 만들었는지는 설명하지만, '왜' 그 프로젝트가 필요했는지, 어떤 비즈니스 문제를 해결하려 했는지에 대한 배경 설명이 없어 수동적인 개발자로 보일 수 있습니다."
"단점","본인의 역할과 기여도 불분명","팀 프로젝트 설명에서 본인이 어떤 역할을 맡았고, 구체적으로 어떤 기여를 했는지가 명확히 드러나지 않아 팀의 성과에 묻어가는 인상을 줍니다."
"단점","고민의 깊이가 드러나지 않음","기술을 선택한 이유, 특정 방식으로 코드를 설계한 이유 등 문제 해결 과정에서의 기술적 고민과 트레이드오프에 대한 설명이 부족합니다."
"단점","지원하는 회사와의 연결고리 부재","이력서 내용이 범용적으로 작성되어, 지원하는 회사의 특정 서비스나 기술 스택, 문화에 자신이 왜 적합한 인재인지에 대한 연결고리를 찾기 어렵습니다."
"단점","소프트 스킬 어필 부족","기술적인 역량은 잘 드러나지만, 갈등 해결, 설득, 리더십과 같은 협업 역량을 보여줄 수 있는 구체적인 경험 제시가 미흡합니다."
"단점","안정성 및 운영 경험 부족","실제 사용자가 있는 서비스를 상용 환경에서 운영하며 장애 대응, 성능 모니터링, 데이터 백업 등을 경험해 본 사례가 부족하여 안정성에 대한 신뢰가 부족합니다."
"단점","기술 스택의 편향성","하나의 언어나 프레임워크에 대한 경험만 강조되어, 새로운 기술에 대한 학습 능력이나 다양한 문제 상황에 대한 유연한 대처 능력이 부족해 보일 수 있습니다."
"단점","보안에 대한 고려 미흡","개발 과정에서 SQL Injection, XSS 등 기본적인 웹 보안 취약점을 어떻게 방어했는지, 또는 시큐어 코딩을 위해 어떤 노력을 했는지에 대한 언급이 부족합니다."
"단점","이력서의 가독성 저하","중요하지 않은 정보가 너무 많거나, 문장의 길이가 너무 길고, 일관성 없는 형식으로 작성되어 핵심 역량을 파악하는 데 시간이 오래 걸립니다."
"단점","성장에 대한 의지 부족","과거의 경험을 통해 무엇을 배웠고, 어떤 점이 부족했으며, 앞으로 어떻게 성장하고 싶은지에 대한 성찰과 포부가 드러나지 않습니다."
